project_id,delay_code_id,work_type_id,category,code,code_num,active,sort_order
01a01918-db40-764e-b088-960964c8724a,01a018fe-621f-7140-a2de-f2f13ecb4223,,,,,true,254
01a01918-db40-764e-b088-960964c8724a,01a018fe-6222-703b-a83d-6b15da8e6822,,,,,true,255
01a01918-db40-764e-b088-960964c8724a,01a018fe-6224-796f-b9c9-65e80c8b230f,,,,,true,260
01a01918-db40-764e-b088-960964c8724a,01a018fe-6227-7b04-a440-9e4681fa8c00,,,,,true,261
01a01918-db40-764e-b088-960964c8724a,01a018fe-6229-7269-b7ac-9ebb1b0da050,,,,,true,262
01a01918-db40-764e-b088-960964c8724a,01a018fe-622b-7fa0-adb5-7da03777c478,,,,,true,263
01a01918-db40-764e-b088-960964c8724a,01a018fe-622e-7d0e-bd78-a7c642c78f3c,,,,,true,264
01a01918-db40-764e-b088-960964c8724a,01a018fe-6230-7db9-9239-67590c3c5296,,,,,true,265
01a01918-db40-764e-b088-960964c8724a,01a018fe-6233-7619-b81b-edd5f684e108,,,,,true,266
01a01918-db40-764e-b088-960964c8724a,01a018fe-6235-7411-8afe-104541f6f07f,,,,,true,267
01a01918-db40-764e-b088-960964c8724a,01a018fe-6238-72c4-ab79-b9c0fcff9010,,,,,true,268
01a01918-db40-764e-b088-960964c8724a,01a018fe-623a-70e6-ad4e-c7d3a3593a44,,,,,true,290
01a01918-db40-764e-b088-960964c8724a,01a018fe-623c-7ec6-8afa-b10cb62fe571,,,,,true,291
01a01918-db40-764e-b088-960964c8724a,01a018fe-623f-7236-a0ba-0f35e4faa4c1,,,,,true,292
01a01918-db40-764e-b088-960964c8724a,01a018fe-6241-7574-aa04-e637b6a341b7,,,,,true,293
01a01918-db40-764e-b088-960964c8724a,01a018fe-6244-784b-a2f0-af3e58eda7b5,,,,,true,294
01a01918-db40-764e-b088-960964c8724a,01a018fe-6246-75bd-94b6-f0ef4fec54d1,,,,,true,998
01a01918-db41-7680-aee6-6d9fa986a28d,01a018fe-6249-7c7d-a09a-e437b997b24e,,,,,true,100
